（２）土佐のオナゴのよもやま放談

録音日時　１９６７年１月８日
録音場所　農家（高知市朝倉米田）

話し手
（略号）　（氏名）　（性別）　（生年）　（職業）　（居住歴）
　Ｋ　　　川添繁尾　　女　　明治２７年生　製米業　高知市朝倉でうまれ、２３才から                                                  １０年ぐらい神戸居住、以後朝倉　Ｓ　　　栄枝千代　　女　　大正元年生　　農業　　高知市朝倉でうまれ、１９才から                                                  ６年間香川県居住、以後朝倉
　Ｘ　　　不明

解説：　七十台と五十台との婦人が、服装・食物・家のあかり、神祭その他について、思い出を興味深く語る。マッコト・タマルカなど強調的な語いが随所にあふれ、きかぬ気の土佐人気質を反映している。
［注］この会話にはoverlapがしばしばあらわれる。意気投合した者同志が話をしていて、話が調子に乗って来るとこうした現象をおこすのは、むしろ自然の行き方かも知れない。

0501901|Ｋ|《笑声》 ta~da waro:tebakari oqtaNdja wakaraNdja･ika［22］ josi hoNnara ju:tjao ate~gane: ano: nizju:sitineNmae~djaki: niqsiNseNso:no hazimaqta tokini ate Nmaretju~gajaki hora|《笑声》　ただ　笑ってばかり　いたのでは　わからないぢゃないか。よし　それなら　言ってやろう。あたしがねえ　あのう　二十七年前だから　日清戦争の　始まった　ときに　わたしは　うまれているのだから　ほら。|［22］この次にＳさんのかすかな声が聞こえる。omaNga i:ja（あなたが言いな）であろう。
0501905|Ｓ|tama:ruka daibuni naru~djanaika|おやまあ　だいぶに　なるぢゃないか。
0501906|Ｋ|daibuni nara:i~dja･ omaN sitizju:si:jo hoNde ate~ga hora ziNzjo: itineNno tokino koto ju:tjauki jo: kikija|だいぶに　ならあ。あなた　七十四よ。それで　わたしが　ほら　尋常　一年の　ときの　ことを　言ってやるから、よく　お聞き。
0501909|Ｓ|ju:te mi:|言って　ごらん。
0501910|Ｋ|sono zibuNno omaN seNseiwane: maqkoto omaN imawa omaN mjo:na haikarani titiraitekara omaN seNseimo ma: ju:tara waruikeNdo ona~gono seNseiwa osiroi tuketekara maqkoto haikara~djakeNdo aterano tokino seNseiwa omaN ano hakamao tuqte ebitjano hakamao tuqte horja|その　時分の　あなた　先生はねえ　ほんとに　あなた　今は　あなた　奇妙な　ハイカラに　ちちらしてから　あなた　先生も　まあ　言ったら　悪いけれど、女の　先生は　おしろい　つけてから　ほんとに　ハイカラだけれど、わたしたちの　ときの　先生は　あなた　あの　はかまを　はいて　えび茶の　はかまを　はいて、ほら。
0502001|Ｓ|so: so:|そう　そう。
0502002|Ｋ|se:kara omaN atama ju:tara jokobori~ga:no wasureta darjarosaNno: arja: jokobori~ga:no darezejo arja:|それから　あなた　頭と　言ったら　横掘川の　忘れた　誰さんかねえ、あれは　横掘川の　誰かね、あれは。
0502005|Ｘ|otakasaN［23］|おたかさん。|［23］第三者の発言。障子をへだてて、誰かが答えている。中年の女性の声である。
0502006|Ｋ|otakasaN otakasaNmitaina aNna itjo:~gaesino kamio seNsei~ga ju:tjoqtaki hora|おたかさん。おたかさんみたいな　あんな　いちょうがえしの　髪を　先生が　ゆっていたから　ほら。
0502008|Ｓ|~h:N|ふーん。
0502009|Ｋ|soreba: mukasino koto~djaki se:kara omosiroi~djaika ate~ga ziNzjo: itineNe ita tokini sono zibuNwa ju:tara omaN ma: uNto kanemotino koto biNboniNno koto uNto araki~ga aqtaki hora hoNde kanemotino kowa ano seki~dao［24］ haitju:to biNboniNno kowa miNna: zo:ri~djaqtakini se:kara kimonowa tutuqpo~djaki tutuqpo:~de se:kara kamja sjobosjobo~dja: se:kara atera: ano: nanijojo kasurino kimono ki:te［25］ murasakino ano: heko:bjo sitjoqtaki hora otokomo ona~gomo soNna moNdjaqtaki sorekara seNsei~ga tamaruka zurari:qto narabetekara itatokoro~ga omaN atewa irono maqkuroi kamino unto kuroi ko~djaqtato so:Ndja:kini omaN otokono kono kue ata: narabasaretene: hoitara utino ano: oka:saNga ju: kotonja: seNsei seNsei sono kowa ano: ona~gono ko~de gozaimasu~ga ju:te ju:ta tokoro~ga arja ozjo:tjaNdesitaka ［補注］ aNmari o~geNkina kao sitju:kini hoNde otokono kokato omoimasitato ju:te juwaretaba:~djakini meqso ima~demo beqpiNdekara omaN kawairasi: kao sitjorana:jo omaNra:no tokja doNna kotojaqtazejo|それくらい　昔の　事だから。それから　おもしろいぢゃないか　わたしが　尋常　一年へ　行った　ときに、その　時分は　言ったら、あなた　まあ　うんと　金持の　子と　貧乏人の　子と　うんと　へだたりが　あったから、ほら。それで　金持の　子は　あの　せきだ〔雪駄〕を　はいていると、貧乏人の　子は　みんな　ぞうりだったから　それから　着物は　つつっぽだから〔そでの短い着物〕、つつっぽうで、それから　髪は　しょぼしょぼだ。それから　わたしら　あのう　あれだ、かすりの　着物を　着て　紫の　あのう　へこ帯を　していたから〔結んでいた〕　ほら。男も　女も　そんな　ものだったから。それから　先生が　まあ　ずらりーっと　ならべてから　いたところが　あなた　わたしは　色の　真黒い　髪の　うんと　黒い　子だったとさ。それだから　あなた　男の　子の　ところへ　わたしは　ならばされてねえ、そしたら　うちの　あのう　おかあさんが　いう　ことには、先生　先生　その　子は　あのう　女の　子で　ございますがと　言って　言った　ところが、あれ　お嬢ちゃんでしたか　あんまり　お元気な　顔　しているから、それで　男の　子かと　思いましたと　言って　言われたくらいだから　あまり　今でも　べっぴんでから　あなた　可愛らしい　顔　してはいないよ。あなたなどの　ときは　どんな　ことだったの。|［24］竹の皮のぞうりの裏に皮を張り、鉄を打ったもの。この鉄でよくかかとのあたりを打ち、傷をした体験を筆者も持っている。［25］ki:te;ki:ta;ki:tjoru（着）　ni:te;ni:ta;ni:tjoru（似・煮）［補注］「お嬢ちゃん」は、四つがな識別の上から言えば、〔o~do:taN〕と発音すべきだが、大概の土佐人が〔oo:taN〕と発音している。識別例外語の一つ。
0502116|Ｓ|atera omaN omaNga sono seki~dano koto ju:kini ju:keNdone: ano seki~dao haite omaN kataiqpo mi~giasiga koNda hi~dariasjo suqte ito:te ito:te maqkoto hoNto: seki~dano ko: surea:se~de|わししら　あなた　あなたが　その　せきだの　こと　言うから　言うけれどねえ、あの　せきだを　はいて　あなた　片一方　右足が　今度は　左足を　すって、痛くて、痛くて、実際　ほんとに　せきだの　こう　すれあわせで、
