１．女主人と道具屋の会話

録音年月　1964年6月
録音場所　話し手１の自宅

（2）　「おくやみ」

話し手
（略号）　　（性別）　　（年令）　　（職業）　　（居住歴）
　１　　　　　女　　　　　60台　　　　無職　　　　はえぬき
　２　　　　　男　　　　　30台　　　　道具屋　　　はえぬき

解説：演技してもらったもの。

1101301|２|koNniciwa okusaN icumo demasitekarani erai sicuree itasimasu|こんにちは　奥さん。いつも　おじゃまして　どうも　失礼　いたします。
1101303|１|iie|いいえ。
1101304|２|anoo ciqtomo watasi zoNzimaseNdesitaNdesukedomo gosjuziNsamaniwa erai gohukooa dekimasitekarani （１ hai） hoNtoni moo naNto owabio moosimasitara…|あのう　ちっとも　わたし　存じませんでしたんですけども　御主人様には　たいへん　御不幸が　できまして　ほんとに　もう　何と　お詫びを　申しあげましたら…
1101307|１|ariato gozaimasu maa anoo kanete nee maa （２ hee ee ee） jowai hitodeqsakaini （２ haahaa aa…） maa zjuubuNni nee （２ ee） joozjoowa hita itasite orimasitaNdesukedo （２ hee ee） koNnani hajaku nee （２ hee eee） ma nakunarutowa omoimaseNnode maa icido maa koremo ma zjuNzjoto sitewa nee （２ hee ee ee） ma watakusia maa sjuziNno sewao site （２ hee eeee） sjuziNo miokuru cjuu kotoa zjuNzjo desukara （２ haahaa aa） maa soede nee （２ hee） ano koremo ma sizeNno sadame desusi （２ ee ee ee） ano…|ありがとう　ございます。まあ　あの　かねて　ねえ、まあ　弱い　人でしたので　まあ　充分に　ねえ、養生は　した、いたして　おりましたんですけど、こんなに　早く　ねえ　ま　亡くなるとは　思いませんので、まあ　一度　まあ　これも　ま　順序と　しては　ねえ　ま　わたくしが　ま　主人の　世話を　して　主人を　見送る　という　ことが　順序　ですから、まあ　それで　ねえ、あの　これも　ま　自然の　定め　ですし　あの…
1101408|２|sikasi ano naN desitesu nee anoo amari watasimo hi cjoq〔to〕 sibaraku gobusata sitemasitaNde nee （１ haa） uN zo ano zoNzimaseNdesitaNdesukedomo naN desuka cjoqto ano guai warukaqtaNdesuka|しかし　あの　何　でし〔た〕ですねえ、あの　あんまり　わたしも　ちょっ〔と〕　しばらく　御無沙汰　していましたので　ねえ、あの　存じませんでしたんですけども　何　ですか　ちょっと　あの　ぐあい　悪かったんですか。
1101412|１|haa ano tookjookara nee （２ hee） kaeqte kita tokini nee （２ haa haa） ano cjoqto maa guai warukaqtaNdesukedo nee|はあ　あの　東京から　ね　帰って　来た　時に　ね、あの　ちょっと　まあ　ぐあいが　悪かったんですけど　ね。
1101414|２|aa naruhodo|ああ　なるほど
1101415|１|cuikara cuini ne （２ hee） joozia arimasite nee （２ haa soodesuka） guai waruite iimoqte muri sitemasitano|次から　次に　ね　用事が　ありまして　ね、　（２　はあ　そうですか）　ぐあいが　悪いと　いいながら　無理　してましたの。
1101501|２|aa soo desuka|ああ　そう　ですか。
1101502|１|hositara jaqpari koo sjokuzia nee koo （２ aahaahaa） ataqte nee （２ hee heehee） hosite sorea nee （２ hee） sono maa cjoqto ikaijoo mitaiN narimasite ne|そしたら　やっぱり　こう、食事が　ね　こう　あたって　ね、そして　それが　ね　その　まあ　ちょっと　胃潰瘍　みたいに　なりまして　ね。
1101505|２|aa soo desuka oisjasaNwa naN desuka oisja…|ああ　そう　ですか。お医者さんは　なん　ですか、お医者…
1101507|１|hoNde maa sono ato hee oi oisjasaNmo ne （２ hee） NN iroiroto naNjakedo hazime nee （２ hee） sorea sono nee NN kaze jato omot haqte nee|それで　まあ　その　あと、お医者さんも　ね　いろいろと　何ですけど　初め　ね、それが　その　ねえ、風邪　だと　思ってらして　ね。
1101510|２|haahaahaahaa naruhodo|はあはあはあはあ　なるほど。
1101511|１|soide maa penisiriNno cjuusja sitari ne （２ aa soo desuka） iroiro sitaNdesukedo ne （２ heeheehee） sorea maa dositemo sono nee （２ ee） 
