１．女主人と道具屋の会話
　
録音年月　1964年6月
録音場所　話し手１の自宅

（4）　「島原見物の話」

話し手
（略号）　（性別）　（年令）　（職業）　（居住歴）
　１　　　　女　　　　60台　　　無職　　　はえぬき
　２　　　　男　　　　30台　　　道具屋　　はえぬき

解説：（3）から話題がそれていった自然な会話。

113201|２|sojakara…|ですから…
113202|１|maa nee hote kono konaida mitaini niiatani zisiNa aqtari （２ haa） mata kocirano hooni nee （２ haa aa） iroNna a o amea kjuusjuucihoomo erai amede nee|まあ　ねえ　そして　この　こないだ　みたいに　新潟に　地震が　あったり、また　こちらの　方に　ねえ、いろんな　雨が　九州地方も　大変な　雨で　ねえ。
113205|２|soo desu soo desu|そう　です、そう　です。　
113206|１|soo desukedo nee （２ ee …） kinomo ne （２ ee） zicuwa atasi ano zidoosjani noqte cjoqto kinoo （２ haa） anoo hoozia aqte （２ haahaa） iqtaNdesu （２ ee） ucini zidoosjajasaNa nee （２ hee） anoo wakai nee （２ NN） nakanaka siqkari sita zidoosjajasaN ja|そう　ですけど　ねえ、昨日も　ね、実は　あたし　あの　自動車に　乗って　ちょっと　きのう　あのう　法事が　あって　行ったんです。うちに　自動車屋さんが　ねえ、あのう　若い　ねえ、なかなか　しっかり　した　自動車屋さん　よ。
1103303|２|aa soo desuka|ああ　そう　ですか。
1103304|１|hoNde nee ano koNdo ootara mata koNdo okusaN ano kjuusjuucihooni amea aqta koto siqtaharimasuka （２ heeheehee） 〔watasi〕 soo desuka juute … kaNaetara nee （２ haa） kjootowa hoNtoni keqkojaa zidoosjajasaN juutehaqta|それで　ねえ、あの　こんど　会ったら　また　こんど　奥さん　あの　九州地方に　雨が　あった　ことを　知っていらっしゃいますか、〔わたし〕　そう　ですかと　言って
…　考えたら　ねえ、京都は　ほんとに　結構だと　自動車屋さんが　言っていらした
1103308|２|soo desu ne （１ ee） amari soo iqta sono （１ haa） teNsaia arimaseNkara nee|そう　です　ね、あまり　そう　いった　その　天災が　ありませんから　ねえ。 
1103310|１|hoNde watasino … zidoosjajasaNnjaa mezurasii ma （２ haa） erai naa hitoa aNnja naato konoorono zidoosja cjuu moNwa miNna hee （２ haa） nakanaka kii cukete … （２ soo desu） seN naraNnoni ne （２ hee ee） hode ano zidoosjaa kitara sora tookjoono kotoo omotaraa moo tookjoo oosakano koto omotara nee （２ haahaa） kjootowa kurumamo sukenaisi （２ soo desu） naN desukedo nee （２ heeee）maa soosite maa minaa soo daNdaN daNdaN kono kurumade koo mi…moo na … keqkjoku …ni narimasukara nee|それで　わたしも　自動車屋さんには　めずらしい　ま　えらい　人が　あるんだ　なあと、このごろの　自動車　という　ものは　みんな　なかなか　気を　つけて　…　（２　そう　です）　しなければ　ならないのに　ね…　それで　あの　自動車が　来たら　そら　東京の　ことを　思ったら、もう　東京　大阪の　ことを　思ったら　ねえ、京都は　車も　少ないし、（２　そう　です）　なん　ですけど　ねえ。まあ　そうして　まあ　みんなが　そう　だんだん　だんだん　この　車で　こう　結局　…に　なりますから　ねえ。
1103403|２|soo desu moo konooro nee kaNkoono nani cjuutemo taiai nee moo ookina basude ikimasusi nee sojakara sono daNdaN sono naNcjuuka sono kjootorasii sizukana nee （１ ee） kaNsena toko cjuu tokoa nakunaqte iki…|そう　です。もう　このごろ　ねえ、観光の　なに　といっても　大概　ねえ、もう　大きな　バスで　行きますし　ねえ。だから　その、だんだん　その　何というか　その　京都らしい　静かな　ねえ、閑静な　ところ　という　ところが　なくなって　いき…　
1103408|１|soo desu naa|そう　です　ねえ。
