2.ふたりの老女の会話

録音年月　1964年6月
録音場所　話し手1の自宅

（5） 「無題」

話し手
（略号）　（性別）　（年令）　（職業）　（居住歴）
　１　　　　女　　　　60台　　　無職　　　はえぬき
　３　　　　女　　　　50台　　　無職　　　はえぬき

解説：ふたりの老女がとりとめもなく、それぞれが、自分の身辺や
過去・現在の心境について語っている。

1103901|１|moo ziqkini oaisaN moo gioNmacuria kimasu nee|もう　じきに　おあいさん　もう　祇園祭りが　来ます　ねえ。
1103902|３|soo desu ne|そう　です　ね。
1103903|１|huto moo aNta aNtoki soon wakai tokino gioNmacurino hanasio iroiro omoidasaharimaqsjaro|ふと　もう、あなた　あのとき、その　わかい　ときの　祇園祭りの　話を　いろいろ　お思い出しになるでしょう。
1103905|３|soo desu ano atasira ma kodomono zibuNwa nee （１ hNN） joo anoo otoosaNjarani mina curete morote ano omacuri ikunjaqtara moo zjuuhiciNci mo asa hajohajokara kimono ano kikaesasite morote soite moo iqte acui acui ii omoi sitekarani joo iqtemasitakedo nee hoNdemo kiree naqte sorekara mo ano konooromitaini maqtara moo aNmari hitoa oote wakarasimaseNjoqteni naa hoNtoni|そう　です。あの　わたしたち、ま、こどもの　じぶんは　ね、よく　あの　おとうさんなどに　みんな　連れていって　もらって、あの　お祭りに　行くんだったら　もう　１７日　もう　朝　早くから　着物を　あの　着替えさせて　もらって、そして　行って、暑い　暑い　思いを　して　よく　行っていましたけど　ねえ。それでも　きれいに　なって、それから　もう　あの　このごろのように　なったら　もう　あんまり　人が　多くて　わかりませんから　ねえ、ほんとに。
1104004|１|hoNmani soo desu naa ano watasiramo nee joo ano jukae nee iqte sosite suzumini i sono tokini …qte mina kireena sore kimono kite|ほんとに　そう　ですねえ。あの　わたしたちも　ねえ、よく　あの　床へ　ねえ　行って、そして　涼みに　その　ときに　…って　みんな　きれいな　それ、着物を　着て。 
1104007|３|soo dosita naa|そう　でした　ねえ。
1104008|１|aajuu huukeewa moo daNdaN nai jooni narimaqsjaro|ああいう　風景は　もう　だんだん　ない　ように　なるでしょう。
1104009|３|oheN nee ee ee arasimaseN nee maa anoo omacuri mini itara kaeriwa maa kaarano nee ano tokode ano suzumino tokoe curete morote koorimizu noNde sote maa ucii kaeqte mite soNnaN desitakedo naa|ありませんねえ。ありませんねえ。まあ　あの　お祭り　見に　行った　帰りは　まあ　河原の　ねえ、あの　ところで　あの　涼みの　ところへ　つれていって　もらって、氷水を　飲んで、そして　まあ　家へ　帰って　みて、そんなふう　でしたけど　ねえ。　 
1104014|１|sono nacukasii omokaeo aNta omoidasite|その　なつかしい　面影を　あなた　思い出して…
1104015|３|soo desu naa|そう　です　ねえ。
1104016|１|soreni husiini maa koosite naa （３ NN） aNtato iqsjoni mata kaeqte ko kurasu jooni narute kaNaeruto husiide kanaNno watasi mo|それに　ふしぎに　まあ　こうして　ねえ、あなたと　一緒に　また　かえって　こう　暮らす　ように　なるって　考えると　ふしぎで　しょうがないの、わたし　もう。
1104102|３|sora hoNmani husiina mon dosu na|それは　ほんとに　ふしぎな　もの　です　ね。
1104103|１|ee haa|ええ。
1104104|３|cjoodo atasia maa anoo oucino tonarii nee asobini josete ta josete mooteta zibuNwa cjoodo…|ちょうど　あたしが　まあ　あの　お宅の　隣りに　ねえ　遊びに　うかがわせて　うかがはせて　もらった　ころは　ちょうど…
1104106|１|ikucukurai desita|いくつぐらい　でした？
1104107|３|jaaqcu jaacukara toourai sono zibuN doqsjaro nee|八つ　八つから　十ぐらい、その　じぶん　でしょう　ねえ。
1104108|１|haahaa|はあ　はあ。
1104109|３|ee de moo sorekara maa anoo naNte iimasuka naa anoo aNmari isoasi naqtaNde （１ hNNhNN） anoo maikoni detekarawa mo cjooqtomo nee aNmari asubinimo josete mootakate suu kaeraN narimaseNdesitajoqteni nee （１ soo dosu naa hNN） moo minasaNni au juu kikaia sukuno narimasita nee （１ hNNhNN）|ええ、で、もう　それから　まあ　あの　なんと　言いますか　ねえ、あの　あんまり　忙がしく　なったので、あの　舞子に　出てからは　もう　ちっとも　ねえ、あんまり　遊びにも　うかがわせて　もらったって　すぐ　帰らなければ　なりませんでしたので　ねえ、（１　そう　です　ねえ）　もう　皆さんに　会う　という　機会が　　少なく　なりました　ねえ。
1104114|１|de atasimo nee （３ hNN） konaida ano sjasiNo seeri sitetara ne （３ hNN） hutara ano oharusaNto （３ hNN） qkaa ojaqsaNtono sjasiNa ne （３ hNN） dete kite ne （３ hNN） de sorea ne anoo mada daizini ima noketaarunode ne （３ hNNhNN） iqpeN tookjooe na （３ hee） sorekara ano asijatoe ne （３ hNN） okuqtaejookato omoimasuno|で　あたしも　ねえ、このあいだ　あの　写真を　整理　してたら　ね、そしたら　あの　おはるさんと　それから　あやすさんとの　写真が　ね、出て　来て　ね、で　それが　ね、あのう　まだ　大事に　いま　のこしてあるので　ね、いっぺん　東京へ　ね、それから　あの　芦屋とへ　ね、送ってあげようかと　思いますの。　 
1104203|３|aa soo desuka hee|ああ　そう　ですか、はい。
1104204|１|de jaqpari kono mukasino kotowa naNKa siraNkedo （３ soo desu naa） sono icibaN sitasii naruqte hokani korekara iroNna hitoa dekite kitemo naNka wasurerareN moNde nee|で　やっぱり　この　昔の　ことは　なにか　知らないけど　（３　そう　です　ね）　その、いちばん　親しく　なるって、ほかの　これから　いろんな　人が　できて　きても　なにか　忘れられない　もので　ねえ。
1104207|３|sora soo desu （１ NN ） atasimo ano oharusaN nee siqtemasukedo ima ootara wakarasimaseNdesjaro|そりゃ　そう　です。あたしも　あの　おはるさん　ねえ、知ってますけど　いま　会ったら　わかりませんでしょう。
1104210|１|soo desu （３ hee）|そう　です。
1104211|３|NN nanija…|んん　何か…　
1104212|１|hude maa mea waruisi （３ haa kinodoku desu nee） komaqtaharu soonakedo ne maa kosite miNna （３ NN） taqsjade nee （３ soo desu） kuraseru cjuu （３ NN） kotomo uresiisi|目が　悪いし　（３　はあ　気の毒　です　ねえ）お困りだ　そうだけど　ね。まあ　こうして　みんな　達者で　ね、（３　そう　です）　暮らせる　という　ことも　うれしいし…  
1104216|３|maa ano naN desuwa anoo si siNsjekidemo arimasjeNsi maa iqsjoni nee konaini mata anoo oaisite oucini josete moroo naraNte hoNmani anoo soNna zibuN soNna koto omota kotomo arasimahenaNdanoni （１ hai） nee a hoNtoni ano naN desuwa anoo…|まあ　あの　なん　ですよ、あのう　親戚でも　ありませんし　まあ　一緒に　ねえ　こんなに　また　あのう　お会いして　お宅に　うかがわせて　もらう　なんて　ほんとに　あのう、そんな　時分、そんな　ことを　思った　ことも　ありませんでしたのに　（１　はい）　ねえ。ほんとに　あの　なん　ですよ　あの…
1104305|１|joo ne micide nee deNsjaN nakademo ano oota koto arimasitajaro|よく　ね、道で　ねえ　電車の　中でも　あの　会った　ことが　ありましたでしょう。
1104306|３|soo dosita naa|そう　でした　ねえ。 
1104307|１|maa sosite sono tokimo naNka siraNkedo jaqpari ko sitasii ohanasia dekitasi|まあ　そして　その　時も　なにか　しらないけど、やっぱり　こう　親しい　お話が　できたし。　　
1104309|３|jaqpari mjoona moNde|やっぱり　妙な　もので…
1104310|１|de konai kjoneN ototosi sore （３ hNN） naNzeNzi iqta tokini naa （３ haahaa） mukasino hitoa aNtano koto juutahaqtakedo|で　こんなに　去年、おととし　ほら、南禅寺に　行った　ときに　ねえ、昔の　人が　あなたの　ことを　言っていらしたけど。
1104312|３|soo dosita nee atasiwa cjoqtomo oboesimaseNkeredo nee （１　soo desuka） sojakedomo ano hitoo atasino ciisai tokini siqteru juute ne （１ hNN） （１ hNN） soide aNtano okaasaNmo joojoo anoo siqte tomodaci jaqtaqte mo icudemo ano oboetahartimasukaa juutahaqtakate ciqtomo atasi oboetesimaheN juute nee sojakedo ma nacukasi osu naa juute hoNde maamaa anoo dokoni oijasu juutakedo ma juu toko iru tokomo juute  kureharasimaseNnaNdesi nee|そう　でした　ねえ。わたしは　ちっとも　覚えていませんけれど　ね　（１　そう　ですか）　ですけど　あの　人を　わたしの　小さい　ときに　知っていると　言って ね、そして　あなたの　おかあさんも　よくよく　あの　知って、友だち　だったって　もう　いつでも　あの　覚えていらっしゃいますかと　いっていらしたけど　ちっとも　わたし　覚えていません　といって　ねえ。ですけど　ま　なつかしい　です　ねと　言って、そして　まあまあ　あの　どこに　いらっしゃるかと　言ったけれど　ま　いう　ところ、いる　ところも　言って　くださいませんでしたし　ね。
1104404|１|aa soo desitaka|ああ　そう　でしたか。
1104405|３|soide moo sono mamani naqtemasukedo atasi…|それで　もう　その　ままに　なってますけど、わたし…
1104406|１|kotosimo ne （３ hNNhNN） are are soo sibajama zeNkeesaNno （３ haahaa） sono zjeNno are asa kooi kikini kimasitajaro|ことしも　ね、あれ　あれ　その　しばやま　ぜんけいさんの　その　禅の　あれ、朝、講義を　聞きに　来ましたでしょう。
1104408|３|soo dosita naa de u a…|そう　でした　ねえ、で…
1104409|１|kotosimo mata aqtara nee （３ haa） iketara nee （３ curete moraima…hee）ano ma keqkoojato omote watasi ne （３ hNN） （３ hNN） aa tanosiNdemasukedo|ことしも　また　あったら　ねえ、行けたら　ねえ  （３　つれていって　もらいま…）　あの　ま　結構だと　思って　わたし　ね。楽しみにしていますけど。
1104412|３|soo dosuka|そう　ですか。
1104413|１|maa otaaini nee N soojuu kotoo maa kikasite morote ma kokoroo aroote （３ soo desu） kireeni kurasooto omootetemo ma iroNna kotoa （３ soo dosu naa） cuicui okoru （３ hNN） kedomo ne suuni mata sono omoinaosia dekerudakedemo atasi nee （３ hee） hoNtoni anoo konooro ariataito （３ hNN） omotemasuno|まあ　お互に　ねえ　そういう　ことを　まあ　聞かせて　もらって　ま　心を　洗って　（３　そう　です）　きれいに　暮らそうと　思っていても　ま　いろいろな　ことが　（３　そう　です　ね）　つぎつぎ　起こる　けれども　ね、すぐに　また　その　思い直しが　できるだけでも　わたし　ね、ほんとに　あの　このごろ　ありがたいと　思っていますの。
1104502|３|so dosu naa|そう　です　ねえ。
1104503|１|hoNde nee hNN…|それで　ねえ　ん…
1104504|３|atasimo mo hoNtoni ano ariatai keqkoo jato omotemasu（１ hNN） de ma nee ano kono （１ hNN） nacumo mata （１ hNNhNN） ano naNzeNzino nee （１ hNN） areni anoo curete itadaitara nee （１ hNN） keqkona mo ohanasi kikasite morau taNbeni ne anoo atasja mucukasi kota wakarasimaseNkeredo maa anoo jaqpari anoo kokoroa kireeni naqte anoo omote （１ hNN） sorea maa anoo uresi omotemasunoe （１ hNNhNN）|わたしも　も　ほんとに　あの　ありがたい　結構　だと　思っています。で　ま　ねえ、あの、この　夏も　また　あの　南禅寺の　ねえ　あれに　あの　連れていって　いただいたら　ね　結構な　もう　お話を　聞かせて　もらう　たびに　ね、あのう　わたしは　むずかしい　ことは　分かりませんけど　まあ　あの　やっぱり　あのう　心が　きれいに　なって　あのう　と思って　それが　まあ　あの　うれしく　思っていますよ  
1104510|１|maa buqsicuniwa kiria naisi ne （３ NN） kinoomo sonai omote watasimo ne （３ hee） joo kaiqte kite ne maamaa kono ma asia taqsjajasi ma tea iokerusi maamaa kjoomo haqte icinici kosite maa dekite ariatai naa tomote kaiqte kitaNdesukedo nee （３ hNNhNN） jaqpari koo miNna so jute ne ko si tosia ikuto jaqpari kono wazuroote neteru hitono kotonaNka omouto watasitaci ne （３ hNN） jaqpari kore （３ hNN） kaNsja sena ikaN naato omouNdoqse|まあ　物質には　きりが　ないし　ね、きのうも　そんなに　思って　わたしも　ね、よく　帰って　きて　ね　まあまあ　この　まあ　足が　達者だし　まあ　手が　動けるし　まあまあ　きょうも　こうして　一日　こうして　まあ　でき、ありがたい　なあ　と思って　来たんですけど　ねえ　やっぱり　こう　みんな　そう　いって　ね　こう　年が　いくと　やっぱり　これ　感謝　しなければ　いけない　なあと　思うんですよ。
1104601|３|hoNmani ano soo dosu na （１ hNN）|ほんとに　あの　そう　です　ね。
1104602|１|ma aNtamo maa zja geNkini naq narahaqtasi…|ま　あなたも　まあ　じゃ　元気に　なっ、なられたし…　
1104603|３|NN moo atasimo （１ hNN） anoo bjooki site nee e mo bjookia naoqtekara moo doko iqtemo anoo maa mooto motomotodoorini naqtajoqteni （１ hNN） jorosi naa juute nee juute kureharimasujoqteni jorokoNdemasuno|もう　あたしも　あの　病気　して　ねえ、もう　病気が　治ってから　もう　どこへ　行っても　あの　まあ　元、元通りに　なったので　いい　なあと　いって　ね、いって　くださいますので　喜んでいますの。
