（ロ）食糧事情のこと

0405906|Ｍ|dareka sjaN koqcino ho:ene miNna sokaisite mietaqte|誰か　しらないが　こちらの　方へね、皆　疎開して　きていられたって？
0405908|Ｋ|ho:zja miNna soke:site kitena|そうだ、皆　疎開して　きてね。
0405909|Ｍ|macino ho:no stoa|町の　方の　人が？
0405910|Ｋ|hu:N maci watasimo to:kjo:karana: imo:toa soke:site kitoqtadena|フーン、町　私の所も　東京からねー、妹が　疎開して　来ていたからね。
0405912|Ｍ|oba:saNmo kokoni dareka siraN sokaisitoqtato iqtadesjo:|おばあさんも　「此所に　誰か　しらが　疎開していた」と　言ったでしょう。
0405914|Ａ|kokoni gozaqta hiasino kojanina: gozaqtawana: :saqte ju: sito huta:ri o:katano ie kite gozaqtawana darezo kaNzo kojae|ここに　居られた。東の　小屋にねー　居られたよねー、愛さんと　いう　人　二人が。大ていの　家へ　来て　いられたよね、誰か　かれかが、小屋へ。
0406003|Ｋ|soke:site kitemo naNnimo ano zibuNwa seNso:zibuNwa taberu moN araheNna: h:kju:baqkaside|疎開して　きても　何も　あの　頃は、戦争の頃は、食べる　物が　無いよねー、配給ばかりで。
0406006|Ｍ|koqci hoNdemo no:jo: stoqtanjaro|こちらは、それでも、農業を　していたんでしょう。
0406007|Ｋ|hu:N no:jo: stoqtade zjaaimodemo tabetoqtaNja|フーン、農業を　していたので　馬鈴薯でも　食べていたんだよ。
0406009|Ｍ|a: zjaaimo okomewa|あー、馬鈴薯、お米は？
0406010|Ｋ|okomewa aqtakedomo jaqpaisina h:kju:destajaro huNde iqkura zibuNno dokode okome toqtemo h:kju:jaqtadena storiatari saNo:nara saNo: nio:nara nio:ateNdenaN doNdakeqteqte soNdakeka nokosasite moraehenaNda|お米は　あったけれども　やはりね、配給だったでしょう。それで　いくら　自分の　所で　お米を　とっても　配給だったからね、一人当り　三合なら　三合、二合なら　二合宛でね、どれだけと言ったって　それだけしか　残させて　もらえなかった。
