（ハ）日照りのこと

0407507|Ｍ|hu:N nara taNbo hideriqte arujaro taNbo|フーン、そんなら　田んぼの　日照りって　あるでしょう？　田んぼ、
0407508|Ｋ|hora hideriwa aqtawana: are naNneN sjo:wa naNneNorojaqtajaro hideri monosue: atasira: hiciacu zju:gonicimade ta: e:ta koto aqta （Ａ u:N u:N） are naNneNorojaqtakasiraN|それは、日照りは　あったよねー。あれは　何年、昭和　何年頃だったか、日照り、ものすごい。私達は　七月　十五日まで　田を　植えた　事が　あった。（Ａ　ウーン　ウーン）　あれは　何年頃だったかしら。
0407512|Ａ|naNneNjaqtajaqtasiraNna: jonabeni tokimizude naNzjana taNbo sitaNzjana:|何年だったかしらねー、夜なべに　時水で、何だね、田んぼの仕事を、したんだよねー。
0407514|Ｋ|tokimizude miNna kone:tena: hosite ta: uetaNja watasira: iqpoNino ano: taNbo kokonose ikuraqte jacuni sa:NbeNka siheNka gahaN kakaqte|時水で　皆　〔土を〕こなしてねー、そして　田を　植えたんだよ。私等は　一本木の、あの。田んぼ、九畝　余りという　田に、三度か　四度か、たくさん　かかって。
0407604|Ａ|u:N mo: iqso mame uejoka siraNto omoqtena: kaNko: sitoqtaNjakedo tokimizude sitosimacu sitosimacu atasi kono jasikida uerusina: kone:teqtaNzja|ウーン、もう　いっそ　豆を　植えようか　しらと　思ってねー、くふう　していたんだけれど、時水で　一しまずつ　一しまずつ、私は　この　屋敷田を　植えるしねー、こなしていったんだよ。
0407608|Ｋ|saNna hiciacuno zju:goNcimade ta: ueta naNsjo: watasi hideono ci:se: tokijade naNneN gre:qta sjaN sjo:wa zju:joneNni umarete sicineNka zju:sicineNka sokorajaqtarokana: zju:sicineNka zju:hacineNjaqtakasiraN|そう、七月の　十五日まで　田を　植えた。何しろ　私、英男の　小さい　時だから　何年　位だった　かしら。昭和　十四年に　生まれて、七年か　十七年か、それ位だったろうかねー、十七年か　十八年だったかしら。
0407613|Ａ|ima:wa so: o:hideriqte ne:dena: （Ｋ u:N） o:hiderizjato doqkani te:macu aaqtakedona imawa soNna o:hideriwa ne:wana: iwasakisaNde ome:saN o:hideri sita tokini zuzukuuri （Ｋ zuzukuri） zuzukuritaraqte （Ｍ zuzukuri） u:N so:najaqtawana|今は　そんなに　大日照りって　ないからねー、（Ｋ　ウーン）　大日照りの時は　どこかに　たいまつが　上ったけれどね、今は　そんな　大日照りは　ないよねー　岩崎さん〔神社〕で、お前さん、大日照り　した　時に　数珠くぐり、（Ｋ　数珠くり）　数珠くりとかって　（Ｍ　ズズクリ？）　ウーン、そんなだったよね。
0407703|Ｋ|ano odoqtaN|あの、踊ったの。
0407704|Ｍ|odoqtaNka|踊ったのか？
0407705|Ｋ|huNde o:ki: zuzuona: miNna wa: naqtena kuqtano hoqte （Ａ te:saNzide） te:saNzideka dokodejaqta sjaN|それで、大きい　数珠をねー、皆　輪に　なってね、くったの。そして、（Ａ　テーサン寺で）　テーサン寺でか　どこでだった　かしら。
0407708|Ａ|hjakumaNdara kuqtano|百マンダラ　くったの。
0407709|Ｍ|hoNnara ame huqta 《笑》|そしたら　雨　降った？　《笑》
0407710|Ａ|zuzuna: koNna kure:no tamaNna miNna wanani sitene hjakumaNdara iqte kuuruNzja ko: jaqte hoqte kona kure:no tama kuqte:na d:te:wa ko jaqte na:maNdabu na:maNdaqte huqte cjaNtona huqtarina:|数珠をねー、こんな　位の　珠のね、皆　わなに　してね、百マンダラ　言って　くぐるんだよ。こう　やって、そして　この　位の　珠を　くってね、大体は　こう　やって、「南無阿弥陀仏　南無阿弥陀仏」って。降って、ちゃんとね、降ったりねー。
0407715|Ｍ|huqta huqtano|降った？　降ったの？
0407716|Ａ|cjoboqtoka huraheN iwasakisaNdena mata aN naNzjana miNnaNna waraziakede soNna zibuN daremo zikatabiNja naNja waraNzi he:te o:kina koNna kure:no ze:hare:qtena: simomaci te:kosaN naNdo koNna kure:no waraziqte o:d:kodena so: jaqte miNna oma:N siNaN kaketaNjana: soNna kure:daqtaNna|少ししか　降らない。岩崎さん〔神社〕でね、又　あの　何だね、皆ね、草鞋がけで、そんな　時分　誰も　地下足袋や　何か、草鞋を　はいて、大きい　こんな　位の　といってねー、下町の　妙子さん　などは　こんな　位の　草鞋はいて、大太鼓でね、そう　やって　皆　あなた、心願を　かけたんだよねー、そんな　位だったんだね。
0407807|Ｋ|na u:rimo nasubimo korokoroja ju:tena: （Ｍ korokro） huN hideridena （Ｍ hu:N） u:rimo （Ｍ a: so:ka）|ね、「瓜も　茄子も　コロコロだ」と　言ってねー。（Ｍ　コロコロ？）　フン、日照りでね、（Ｍ　フーン）　瓜も　（Ｍ　あー　そうか）
0407820|Ａ|uN a:me: ciqto okureNka cjuqte （Ｍ hu:N） so:ja u:rimo na:subimo ko:rokoroqcjuqtena hoqtewa t:ko o:kina o:d:kona taNno sitoa kumaqta dede:N dede:Ntona osano o:de:ko cju:kedo moqto iqke: o:de:ko sitena hoqte jarasita koNna kure:no de:wa de:te sa:tena sore miNna uta arude uta jaqtena|ウン、「雨を　少し　下さい」　と言って。（Ｍ　フーン）　そうだ、「瓜も　茄子も　コーロコロ」と言ってね。そして　太鼓、大きい　大太鼓ね、谷の　人が　くまれた。デデーン　デデーンとね。表佐〔地名〕の　大太鼓　というけれど、もっと　大きい　太鼓　でね、そして　やりなさった。こんな　位の　そうしてね、それは　皆　歌が　あるから　歌を　歌ってね。
0407901|Ｍ|hu:Nde okome miNna karete maujaro|それで、お米は　皆　枯れて　しまうでしょう？
0407902|Ｋ|karete maqtakedona: hiciacu icudemo rokuacuno suenina: uete maunoni sono tosiwa hiciacu zju:goNcimade uetakedona|枯れて　しまったけれどねー。七月、いつでも　六月の　末にねー、植えて　しまうのに、その　年は　七月　十五日まで　植えたけれどね。
0407905|Ｍ|nanio （Ａ huN）|何を？　（Ａ　フン）
0407906|Ｋ|okome ta:ue （Ａ ta:ue:）|お米。田植。（Ａ　田植）
0407907|Ｍ|ta:ueo sitano a mizua nakaqtade hu:N|田植えを　したの？　アー、水が　なかったので？　フーン、
0407908|Ｋ|mizua nakaqtadena cjoboqtozucu tokimizude kone:tewa hoqte ueteqtaNja （Ｍ uN） Nde Ndemo warie:to sono tosiwana aqtano|水が　なかったのでね、少しずつ　時水で　こなしては、そして　植えていったんだよ。（Ｍ　ウン）　それで、それでも、割合に　その　年はね、あったの。
0407911|Ｍ|a okomewa aqtano|アー、お米は　あったの？
0407912|Ｋ|aqta （Ｍ hu:N） hideqte oso: uetakedona: hoNde wase ueta sitowa akanaNdakedona okuwa jokaqta （Ｍ hu:N wase ueta sitowa do:） joke torenaNda （Ｍ huN）|あった。（Ｍ　フーン）　日照りで　おそく　植えたけれどねー。それで　早稲を　植えた　人は　だめだったけれどね、晩稲は　よかった。（Ｍ　フーン、早稲を　植えた　人は　どう？）　たくさんは　とれなかった。（Ｍ　フン）
0407916|Ａ|cjobo:Ntoka toreheN kaqtemo m:temo i: kure:no moNzjaqta|少ししか　とれない。刈っても　燃やしても　よい　位の　ものだった。
0408002|Ｍ|huN naNde hoNnara okuteno sitowa|フン、どうして？　それでは　晩稲の　人は？
0408003|Ｋ|hora sono sitono aNbe:dena jaqpasi okute ierujo:to omoqte ieta sitomo arusi waseno ho:a e:to omoqte ieta sitomo aruNjawana|それは　その　人の　つごうでね、やはり　晩稲を　植えようと　思って　植えた　人も　あるし、早稲の　方が　よいと　思って　植えた　人も　あるんだよね。
0408006|Ｍ|hu:N a: ueru tokiwa oNnasini uetakedo|フーン、アー、植える　時は　同じ様に　うえたけれど？
